date, pm25, pm10, o3, no2, so2, co, psi,total
19-10-17,67,37,26,28,11,5, ,174
20-10-17,97,33,29,21,13,5, ,198
21-10-17,78,38,24,18,11,5, ,174
22-10-17,80,29,20,17,12,5, ,163
23-10-17,70,34,15,28,7,6, ,160
24-10-17,90,40,42,26,8,7, ,213
25-10-17,88,33,25,28,6,7, ,187
26-10-17,82,39,16,26,12,7, ,182
27-10-17,82,26,32,17,7,6, ,170
28-10-17,59,23,20,21,4,5, ,132
29-10-17,49,18,16,18,3,6, ,110
30-10-17,37,15,16,17,1,5, ,91
31-10-17,45,26,27,19,3,3, ,123
01-11-17,71,26,16,23,9,3, ,148
02-11-17,63,24,15,20,14,3, ,139
03-11-17,50,16,21,16,13,8, ,124
04-11-17,41,15,18,12,7,8, ,101
05-11-17,36,15,10,23,7,8, ,99
06-11-17,55,24,10,21,9,6, ,125
07-11-17,52,22,17,12,5,5, ,113
08-11-17,32,15,27,16,2,5, ,97
09-11-17,46,15,14,20,2,5, ,102
10-11-17,35,17,8,20,3,8, ,91
11-11-17,49,20,18,12,5,8, ,112
12-11-17,46,14,22,20,6,5, ,113
13-11-17,49,22,10,17,8,6, ,112
14-11-17,38,15,19,20,5,6, ,103
15-11-17,50,25,23,22,6,7, ,133
16-11-17,73,21,15,20,6,5, ,140
17-11-17,45,19,31,19,11,5, ,130
18-11-17,47,18,27,15,4,6, ,117
19-11-17,43,20,22,19,5,6, ,115
20-11-17,55,21,8,23,5,6, ,118
21-11-17,57,23,23,19,5,6, ,133
22-11-17,56,19,7,13,2,5, ,102
23-11-17,33,11,13,10,1,4, ,72
24-11-17,21,15,16,13,2,5, ,72
25-11-17,27,14,14,12,2,5, ,74
26-11-17,35,12,8,11,2,5, ,73
27-11-17,28,12,26,9, ,5, ,80
28-11-17,31,14,27,9,1,5, ,87
29-11-17,32,11,31,7,2,5, ,88
30-11-17,22,15,26,13,2,5, ,83
01-12-17,38,16,30,13,4,5, ,106
02-12-17,39,19,33,11,6, , ,108
03-12-17,39,19,23,15,4,5, ,105
04-12-17,48,25,21,14,4,5, ,117
05-12-17,57,22,30,20,8, , ,137
06-12-17,57,19,17,17,6,5, ,121
07-12-17,35,14,18,10,2,5, ,84
08-12-17,24,11,14,15,2,5, ,71
09-12-17,39,27,31,14,2,6, ,119
10-12-17,67,28,27,15,2,6, ,145
11-12-17,57,23,20,21,2,6, ,129
12-12-17,54,20,29,18,2,7, ,130
13-12-17,53,20,35,19,3,6, ,136
14-12-17,58,26,26,17,4,6, ,137
15-12-17,57,22,18,16,3,7, ,123
16-12-17,57,22,25,8,2,5, ,119
17-12-17,42,25,26,14,2,5, ,114
18-12-17,57,29,26,16,2,6, ,136
19-12-17,47,23,28,16, ,6, ,120
20-12-17,58,30,34,12,2,6, ,142
21-12-17,63,29,30,16,2,6, ,146
22-12-17,54,16,37,10,3,5, ,125
23-12-17,35,14,23,8,2,5, ,87
24-12-17,21,14,23,10,2,4, ,74
25-12-17,36,14,24,14,3,5, ,96
26-12-17,31,15,20,24,3,6, ,99
27-12-17,46,16,18,19,4,5, ,108
28-12-17,33,18,13,13,3,5, ,85
29-12-17,46,19,10,13,2,4, ,94
30-12-17,46,16,8,13,2,5, ,90
31-12-17,28,10,19,13,3,3, ,76
01-07-17,24,14,13,11,5,5, ,72
02-07-17,37,15,10,13,7,5, ,87
03-07-17,39,14,15,12,12,5, ,97
04-07-17,34,13,8,14,10,5, ,84
05-07-17,28,13,13,12,8,5, ,79
06-07-17,40,14,16,13,5,4, ,92
07-07-17,38,17,16,14,6,4, ,95
08-07-17,51,16,15,10,6,3, ,101
09-07-17,34,11,15,13,6,4, ,83
10-07-17,30,14,12,17,12,4, ,89
11-07-17,42,13,7,12,9,4, ,87
12-07-17,29,15,13,15,3,4, ,79
13-07-17,45,18,6,19,4,5, ,97
14-07-17,57,22,15,15,6,6, ,121
15-07-17,60,20,15,8,5,3, ,111
16-07-17,37,13,24,9,2,4, ,89
17-07-17,48,20,19,14,4, , ,105
18-07-17,53,18,17,12,4, , ,104
19-07-17,41,14,15,13,5, , ,88
20-07-17,37,16,21,10,5,4, ,93
21-07-17,41,18,18,8,5,4, ,94
22-07-17,43,18,18,8,5,4, ,96
23-07-17,44,16,17,8,4,4, ,93
24-07-17,46,20,22,10,4,4, ,106
25-07-17,57,25,21,11,4,4, ,122
26-07-17,64,25,24,15,4, , ,132
27-07-17,66,23,25,11,4,4, ,133
28-07-17,59,24,19,12,4,4, ,122
29-07-17,49,15,15,10,5,4, ,98
30-07-17,36,15,13,9,5, , ,78
31-07-17,35,19,18,11,5,4, ,92
01-08-17,52,24,27,10,4,3, ,120
02-08-17,62,25,25,11,4,4, ,131
03-08-17,55,20,22,12,4,4, ,117
04-08-17,50,20,23,11,4, , ,108
05-08-17,55,20,18,9,4,5, ,111
06-08-17,42,16,7,13,5,5, ,88
07-08-17,40,16,9,12,6,4, ,87
08-08-17,38,14,15,10,6,4, ,87
09-08-17,25,16,12,15,7,6, ,81
10-08-17,47,14,7,14,5,5, ,92
11-08-17,35,17,6,17,7,6, ,88
12-08-17,40,15,10,14,15,5, ,99
13-08-17,39,14,13,11,8,5, ,90
14-08-17,39,14,10,12,4,5, ,84
15-08-17,29,16,17,14,5,5, ,86
16-08-17,49,21,20,14,6,5, ,115
17-08-17,52,19,15,16,2,6, ,110
18-08-17,52,20,13,13,3,4, ,105
19-08-17,41,15,13,10,3,4, ,86
20-08-17,31,13,12,10,4,5, ,75
21-08-17,33,16,12,12,5,5, ,83
22-08-17,33,18,23,12,5,4, ,95
23-08-17,54,21,16,11,4, , ,106
24-08-17,48,17,12,10,5, , ,92
25-08-17,34,11,15,9,4,3, ,76
26-08-17,24,12,15,9,5,4, ,69
27-08-17,33,17,12,12,5,4, ,83
28-08-17,45,24,8,15,8,7, ,107
29-08-17,62,16,19,15,7,5, ,124
30-08-17,35,18,17,14,5,6, ,95
31-08-17,37,13,21,7,4,4, ,86
01-09-17,41,23,28,9,3,5, ,109
02-09-17,64,23,18,6,3,4, ,118
03-09-17,48,18,15,9,4,4, ,98
04-09-17,45,18,13,11,4,3, ,94
05-09-17,40,17,5,15,4,3, ,84
06-09-17,49, , , , , , ,49
11-09-17,63,26,40,14,7,5, ,155
12-09-17,71,29,27,12,4,3, ,146
13-09-17,68,25,17,14,3,5, ,132
14-09-17,57,23,9,20,6,5, ,120
15-09-17,63,22,14,15,9,4, ,127
16-09-17,49,15,16,8,9,3, ,100
17-09-17,25,11,10,13,3,4, ,66
18-09-17,29,16,7,20,4,10, ,86
19-09-17,51,21,11,19,9,8, ,119
20-09-17,47,14,8,11,11,6, ,97
21-09-17,26,14,22,11,9,7, ,89
22-09-17,46,21,20,14,5,7, ,113
23-09-17,59,21,21,13,5,7, ,126
24-09-17,56,19,20,18,6,6, ,125
25-09-17,52,20,11,17,5,3, ,108
26-09-17,39,31,16,22,6,4, ,118
27-09-17,73,23,22,23,13,4, ,158
28-09-17,62,22,13,20,10,2, ,129
29-09-17,46,16,15,16,10,3, ,106
30-09-17,38,17,6,16,10,5, ,92
01-04-17,55,18,23,15,4,5, ,120
02-04-17,43,16,20,14,5,3, ,101
03-04-17,38,14,24,15,5,4, ,100
04-04-17,37,14,23,12,5,4, ,95
05-04-17,31,12,32,15,3,3, ,96
06-04-17,41,15,26,14,3,3, ,102
07-04-17,31,21,11,29,5,4, ,101
08-04-17,57,26,32,26,13,6, ,160
09-04-17,66,25,16,25,7,6, ,145
10-04-17,69,25,32,25,19,5, ,175
11-04-17,68,23,19,20,11,4, ,145
12-04-17,45,15,8,19,8,4, ,99
13-04-17,41,20,15,19,6,6, ,107
14-04-17,35,17,16,15,3,4, ,90
15-04-17,35,23,39,15,2,5, ,119
16-04-17,57,21,21,16,3,4, ,122
17-04-17,45,26,19,21,4,5, ,120
18-04-17,51,21,38,36,5,6, ,157
19-04-17,73,38,25,34,11,7, ,188
20-04-17,90,40,20,25,9,8, ,192
21-04-17,85,20,24,17,6,4, ,156
22-04-17,41,20,19,26,7,5, ,118
23-04-17,64,23,10,24,12,5, ,138
24-04-17,54,29,11,28,7,9, ,138
25-04-17,83,35,15,33,9,7, ,182
26-04-17,77,21,27,23,14,4, ,166
27-04-17,47,19,26,26,9,5, ,132
28-04-17,48,21,9,30,15,5, ,128
29-04-17,70,35,26,23,19,7, ,180
30-04-17,74,19,20,15,8,4, ,140
01-05-17,37,19,8,26,8,6, ,104
02-05-17,61,21,11,26,15,5, ,139
03-05-17,62,22,12,22,16,4, ,138
04-05-17,54,29,20,22,11,7, ,143
05-05-17,74,23,23,20,8,5, ,153
06-05-17,57,28,24,25,13,6, ,153
07-05-17,69,22,28,23,15,5, ,162
08-05-17,59,18,16,15,15,4, ,127
09-05-17,36,13,7,14,6,4, ,80
10-05-17,33,16,10,13,9,5, ,86
11-05-17,43,16,10,18,9,5, ,101
12-05-17,48,18,10,16,10,5, ,107
13-05-17,45,16,17,14,7,4, ,103
14-05-17,29,13,9,16,5,3, ,75
15-05-17,43,16,14,15,8,4, ,100
16-05-17,37,14,16,13,7,3, ,90
17-05-17,38,15,11,10,5,3, ,82
18-05-17,32,13,12,13,6,3, ,79
19-05-17,34,16,15,11,5,3, ,84
20-05-17,40,16,14,12,4,4, ,90
21-05-17,41,14,9,16,5,4, ,89
22-05-17,32,12,15,13,6,3, ,81
23-05-17,31,14,9,15,4,4, ,77
24-05-17,39,16,10,15,4,6, ,90
25-05-17,46,17,9,15,5,3, ,95
26-05-17,44,21,11,18,5,7, ,106
27-05-17,60,20,9,11,5,3, ,108
28-05-17,36,11,16,10,4,2, ,79
29-05-17,22,14,5,18,4,3, ,66
30-05-17,42,21,14,18,18,5, ,118
31-05-17,56,17,11,18,14,3, ,119
01-06-17,42,12,12,15,12,3, ,96
02-06-17,25,12,17,11,9,3, ,77
03-06-17,27,13,21,12,7,3, ,83
04-06-17,34,15,11,12,6,3, ,81
05-06-17,37,19,15,11,6,3, ,91
06-06-17,53,21,22,14,8,3, ,121
07-06-17,55,18,17,10,5,3, ,108
08-06-17,44,16,20,9,5,3, ,97
09-06-17,40,17,16,11,5,3, ,92
10-06-17,41,16,16,12,10,3, ,98
11-06-17,33,12,18,13,9,4, ,89
12-06-17,29,12,17,13,7, , ,78
13-06-17,31,16,16,19,7,4, ,93
14-06-17,42,14,18,17,15,4, ,110
15-06-17,39,19,12,18,5,5, ,98
16-06-17,51,19,19,13,6,4, ,112
17-06-17,43,12,14,13,6,3, ,91
18-06-17,34,12,11,11,8,4, ,80
19-06-17,25,13,19,14,7,4, ,82
20-06-17,40,17,13,18,9,4, ,101
21-06-17,51,23,14,15,6,6, ,115
22-06-17,60,18,7,14,6,4, ,109
23-06-17,41,14,15,14,12,5, ,101
24-06-17,42,17,11,18,14,5, ,107
25-06-17,45,19,30,21,11,5, ,131
26-06-17,60,24,6,22,7,5, ,124
27-06-17,47,21,21,18,5,8, ,120
28-06-17,60,24,9,17,5,7, ,122
29-06-17,48,14,15,13,7,4, ,101
30-06-17,30,10,15,11,5, , ,71
02-01-17,35,15,9,12,2,7, ,80
03-01-17,33,13,13,11,2,5, ,77
04-01-17,27,13,14,9,2,5, ,70
05-01-17,27,16,15,18,4,6, ,86
06-01-17,50,19,22,17,10,6, ,124
07-01-17,44,19,28,12,8,6, ,117
08-01-17,47,18,24,11,5,7, ,112
09-01-17,44,23,18,13,4,6, ,108
10-01-17,53,23,14,16,3,6, ,115
11-01-17,55,23,21,13,4,6, ,122
12-01-17,56,24,24,19,4,5, ,132
13-01-17,69,26,22,18,6,5, ,146
14-01-17,55,25,26,12,6,5, ,129
15-01-17,55,20,29,13,3,6, ,126
16-01-17,41,24,28,19,4,7, ,123
17-01-17,55,20,17,17,4,6, ,119
18-01-17,40,16,19,17,2,7, ,101
19-01-17,40,16,11,17,3,8, ,95
20-01-17,42,18,10,17,7,6, ,100
21-01-17,34,12,13,8,2,6, ,75
22-01-17,27,13,5,12,2,7, ,66
23-01-17,21,12,4,12,2,8, ,59
24-01-17,22,10,10,10,2,6, ,60
25-01-17,22,15,12,8, ,5, ,62
26-01-17,38,19,15,9,2,6, ,89
27-01-17,43,21,16,8,2,6, ,96
28-01-17,38,15,16,7,2,5, ,83
29-01-17,32,14,11,9, ,6, ,72
30-01-17,28,14,11,11,2,5, ,71
31-01-17,38,18,16,11,2,5, ,90
01-02-17,45,25,23,14,3,5, ,115
02-02-17,67,23,20,12,4,5, ,131
03-02-17,38,13,18,12,2,4, ,87
04-02-17,32,14,21,10,2,5, ,84
05-02-17,33,13,19,10,3,5, ,83
06-02-17,29,14,17,15,2,6, ,83
07-02-17,35,17,21,18,2,7, ,100
08-02-17,53,24,28,19,3,8, ,135
09-02-17,64,22,26,11,2,5, ,130
10-02-17,54,23,24,11,2,5, ,119
11-02-17,50,27,27,8,1,6, ,119
12-02-17,55,27,24,10,1,5, ,122
13-02-17,50,30,22,10,1,4, ,117
14-02-17,50,19,18,14,1,4, ,106
15-02-17,32,20,20,14,1,4, ,91
16-02-17,47,27,18,13,1,4, ,110
17-02-17,47,22,15,12,2,5, ,103
18-02-17,47,23,18,9,2,4, ,103
19-02-17,50,21,15,10,1,5, ,102
20-02-17,41,17,12,12,2,5, ,89
21-02-17,42,20,18,9,1,5, ,95
22-02-17,44,16,18,18,2,5, ,103
23-02-17,42,22,5,21,3,6, ,99
24-02-17,51,15,12,15,3,5, ,101
25-02-17,39,18,16,10,1,5, ,89
26-02-17,41,16,14,9,2,4, ,86
27-02-17,34,19,11,11,2,4, ,81
28-02-17,46,17,10,9,2,4, ,88
01-03-17,24,12,14,6,1,2, ,59
02-03-17,36,23,12,11,1,4, ,87
03-03-17,44,18,9,16,1,6, ,94
04-03-17,49,25,17,10,1,5, ,107
05-03-17,60,25,18,14,3,5, ,125
06-03-17,57,22,27,17,3,5, ,131
07-03-17,59,23,26,12,4,5, ,129
08-03-17,55,27,30,14,2,5, ,133
09-03-17,69,26,23,10,2,4, ,134
10-03-17,54,24,25,12,2,4, ,121
11-03-17,57,22,30,19,2,5, ,135
12-03-17,53,27,36,20,7,6, ,149
13-03-17,78,33,31,21,8,5, ,176
14-03-17,70,26,43,29,20,6, ,194
15-03-17,76,27,33,14,15,4, ,169
16-03-17,52,26,22,24,4,6, ,134
17-03-17,65,29,34,17,4,6, ,155
18-03-17,69,25,33,16,3,6, ,152
19-03-17,68,23,19,17,3,6, ,136
20-03-17,42,18,32,20,2,6, ,120
21-03-17,55,18,13,15,4,6, ,111
22-03-17,36,22,22,14,2,6, ,102
23-03-17,62,23,36,21,7,4, ,153
24-03-17,69,32,30,21,13,5, ,170
25-03-17,62,24,29,13,3,7, ,138
26-03-17,59,18,20,12,2,6, ,117
27-03-17,38,19,8,17,3,8, ,93
28-03-17,39,19,17,21,3,6, ,105
29-03-17,47,22,7,21,4,7, ,108
30-03-17,48,20,18,25,5,7, ,123
31-03-17,59,25,15,27,4,7, ,137
01-10-16,61,21,22,12,5,5,56,182
02-10-16,62,26,10,19,5,5,59,186
03-10-16,67,27,21,15,6,5,61,202
04-10-16,76,40,21,26,10,5,74,252
05-10-16,97,36,12,14,11,5,71,246
06-10-16,89,29,3,15,8,3,55,202
07-10-16,54,18,16,13,5,2,45,153
08-10-16,48,20,15,17,8,3,53,164
09-10-16,57,21,21,14,7,3,57,180
10-10-16,57,20,23,9,2,2,48,161
11-10-16,47,16,22,8,2,3,39,137
12-10-16,35,16,15,9,2,4,37,118
13-10-16,33,16,9,14,4,2,45,123
14-10-16,46,18,14,12,7,2,47,146
15-10-16,47,16,8,10,7,3,40,131
16-10-16,37,13,8,13,6,2,35,114
17-10-16,38,16,12,9,5,4,48,132
18-10-16,41,17,8,14,6,5,46,137
19-10-16,48,21,18,17,10,6,57,177
20-10-16,61,23,18,20,8,2,57,189
21-10-16,60,20,14,12,5,2,48,161
22-10-16,39,19,28,14,2,1,60,163
23-10-16,68,31,8,22,4,3,62,198
24-10-16,77,32,17,23,4,4,57,214
25-10-16,71,21,15,15,5,1,46,174
26-10-16,49,20,7,13,7,2,46,144
27-10-16,49,21,10,25,4,2,59,170
28-10-16,70,31,9,18,7,4,61,200
29-10-16,71,17,10,14,8,2,36,158
30-10-16,34,18,11,16,7,2,53,141
31-10-16,56,19,12,16,10,2,48,163
01-11-16,56,18,17,17,4,6,47,165
02-11-16,46,17,13,13,3,6,36,134
03-11-16,31,13,11,15,3,3,41,117
04-11-16,38,17,6,15,4,4,44,128
05-11-16,42,14,14,8,5,1,27,111
06-11-16,25,20,7,17,4,4,54,131
07-11-16,66,23,13,15,10,7,54,188
08-11-16,55,25,24,18,12,6,57,197
09-11-16,63,24,15,18,7,5,56,188
10-11-16,60,22,11,18,4,11,52,178
11-11-16,53,19,17,17,2,10,52,170
12-11-16,53,19,14,15,3,5,42,151
13-11-16,42,16,3,17,3,4,39,124
14-11-16,38,15,16,13,2,4,44,132
15-11-16,44,16,7,15,5,5,47,139
16-11-16,47,19,13,20,7,3,50,159
17-11-16,51,22,16,21,3,5,51,169
18-11-16,50,23,10,23,3,9,61,179
19-11-16,67,23,17,19,4,6,60,196
20-11-16,64,17,17,12,4,5,44,163
21-11-16,36,18,7,18,10,5,51,145
22-11-16,55,17,7,13,12,4,35,143
23-11-16,34,15,15,17,9,7,48,145
24-11-16,48,20,23,19,6,6,49,171
25-11-16,46,19,12,16,2,8,50,153
26-11-16,50,17,13,10,2,9,36,137
27-11-16,33,10,12,9,1,4,28,97
28-11-16,24,11,5,10,1,5,33,89
29-11-16,31,13,17,7,1,4,29,102
30-11-16,25,12,10,13,2,5,34,101
01-12-16,29,12,13,12,3,5,33,107
02-12-16,32,14,10,16,5,6,43,126
03-12-16,46,22,19,17,11,7,54,176
04-12-16,53,16,15,10,5,7,46,152
05-12-16,41,20,22,19,6,8,52,168
06-12-16,61,23,18,15,5,6,41,169
07-12-16,43,17,25,11,2,6, ,104
08-12-16,37,16,11,13,1,6, ,84
09-12-16,35,14,19,8,1,5, ,82
10-12-16,33,14,17,7, ,5, ,76
11-12-16,32,12,19,7,2,5, ,77
12-12-16,26,17,29,14,2,6, ,94
13-12-16,56,20,26,15,2,6, ,125
14-12-16,50,22,26,10,2,6, ,116
15-12-16,71,29,25,21,4,6, ,156
16-12-16,79,29,11,18,5, , ,142
17-12-16,62,18,15,11,2,6, ,114
18-12-16,34,14,19,10,1,6, ,84
19-12-16,39,13,18,7,1,5, ,83
20-12-16,20,11,24,11,2,5, ,73
21-12-16,31,14,13,16,2,6, ,82
22-12-16,33,16,12,12, ,7, ,80
23-12-16,36,11,14,11,1,6, ,79
24-12-16,26,10,14,6,1,5, ,62
25-12-16,23,10,13,5,1,5, ,57
26-12-16,19,9,10,8, ,5, ,51
27-12-16,20,10,6,13, ,6, ,55
28-12-16,33,12,6,15,1,6, ,73
29-12-16,45,22,20,13,1,6, ,107
30-12-16,33,11,12,11,1,6, ,74
31-12-16,28,15,28,19, , , ,90
01-01-17,33,16,11,15,2,5, ,82
01-07-16,58,27,22,11,3,4,57,182
02-07-16,58,29,24,8,3,3,52,177
03-07-16,52,24,21,10,3,4,48,162
04-07-16,47,19,14,8,4,3,45,140
05-07-16,41,16,11,10,4,4,46,132
06-07-16,39,19,13,12,7,4,53,147
07-07-16,52,17,9,14,5,2,43,142
08-07-16,38,17,15,12,6,2,47,137
09-07-16,41,15,15,12,4,2,42,131
10-07-16,33,15,6,16,6,3,50,129
11-07-16,42,16,14,14,6,3,48,143
12-07-16,40,15,6,16,6,3,44,130
13-07-16,45,20,5,18,11,4,55,158
14-07-16,56,18,5,15,7,5,48,154
15-07-16,45,18,24,19,8,5,54,173
16-07-16,59,19,31,16,8,4,50,187
17-07-16,48,20,10,24,4,5,56,167
18-07-16,59,18,17,12,5,3,36,150
19-07-16,31,14,9,20,6,4,44,128
20-07-16,47,20,14,19,10,3,50,163
21-07-16,49,22,3,25,9,5,59,172
22-07-16,64,19,9,17,7,4,44,164
23-07-16,38,13,6,15,4,4,38,118
24-07-16,34,15,4,20,6,4,43,126
25-07-16,44,21,3,17,10,3,52,150
26-07-16,51,22,13,16,5,5,56,168
27-07-16,58,23,10,17,4,3,56,171
28-07-16,60,20,15,17,6,3,50,171
29-07-16,50,17,13,15,5,2,51,153
30-07-16,46,18,11,16,4,2,48,145
31-07-16,45,21,13,24,7,3,56,169
01-08-16,62,20,22,17,15,2,52,190
02-08-16,55,19,13,17,9,2,50,165
03-08-16,49,18,12,15,6,2,45,147
04-08-16,44,18,17,16,5,2,55,157
05-08-16,54,20,14,19,4,4,56,171
06-08-16,60,26,16,10,4,2,59,177
07-08-16,67,29,22,14,6,3,61,202
08-08-16,68,29,22,19,9,5,64,216
09-08-16,75,20,14,13,8,3,44,177
10-08-16,41,18,10,18,6,5,53,151
11-08-16,52,19,10,16,6,4,52,159
12-08-16,51,23,21,21,6,4,61,187
13-08-16,72,26,19,16,10,4,58,205
14-08-16,64,20,20,14,10,2,48,178
15-08-16,44,14,10,12,5,2,37,124
16-08-16,35,16,10,13,4,4,46,128
17-08-16,43,19,10,10,5,2,49,138
18-08-16,37,16,10,10,4, ,43,120
19-08-16,35,15,13,12,5, ,44,124
20-08-16,40,14,8,11,5,2,42,122
21-08-16,39,14,12,15,5,3,45,133
22-08-16,48,25,17,15,9,4,63,181
23-08-16,72,23,9,12,10,2,43,171
24-08-16,44,14,16,13,9,2,40,138
25-08-16,40,32,28,20,10,9,103,242
26-08-16,124,49,15,19,9,8,82,306
27-08-16,92,35,17,17,9,6,77,253
28-08-16,93,38,15,13,5,7,65,236
29-08-16,70,17,7,13,7,4,49,167
30-08-16,50,20,9,9,11,2,56,157
31-08-16,55,20,4,14,5,5,55,158
01-09-16,54,19,13,16,7,4,50,163
02-09-16,49,21,13,17,8,6,61,175
03-09-16,66,22,13,21,8,3,64,197
04-09-16,69,35,12,27,11,4,69,227
05-09-16,82,24,18,19,13,4,53,213
06-09-16,55,17,7,14,8,2,46,149
07-09-16,44,18,11,13,5,3,52,146
08-09-16,51,18,10,14,5,4,53,155
09-09-16,54,25,9,16,4,5,55,168
10-09-16,58,19,13,12,5,3,48,158
11-09-16,43,18,8,18,7,2,52,148
12-09-16,56,21,12,15,5,4,51,164
13-09-16,47,15,5,17,6,4,40,134
14-09-16,37,18,12,14,6,2,54,143
15-09-16,56,18,13,17,8,4,47,163
16-09-16,46,18,19,12,8,7,48,158
17-09-16,50,21,21,19,6,2,58,177
18-09-16,63,19,11,16,10,2,46,167
19-09-16,47,15,11,12,8,4,37,134
20-09-16,33,14,12,13,3,5,46,126
21-09-16,42,23,27,17,3,6,61,179
22-09-16,66,22,18,16,4,3,53,182
23-09-16,54,28,23,24,10,2,60,201
24-09-16,70,22,24,17,13,2,50,198
25-09-16,56,27,24,21,10,3,60,201
26-09-16,71,38,19,24,10,2,70,234
27-09-16,94,34,24,14,9,3,61,239
28-09-16,66,25,19,15,3,2,49,179
29-09-16,54,24,20,21,2,4,61,186
30-09-16,72,27,12,22,5,5,57,200
01-04-16,78,29,23,9,1,5,60,205
02-04-16,64,23,16,9,2,4,52,170
03-04-16,52,20,23,4,2,4,57,162
04-04-16,57,21,17,10,1,5,53,164
05-04-16,55,22,26,11,2,5,57,178
06-04-16,58,26,33,12,2,7,60,198
07-04-16,67,28,31,13,3,7,61,210
08-04-16,71,27,18,3,1,3,60,183
09-04-16,70,33,31,2,2,5,64,207
10-04-16,74,25,23,15,3,3,60,203
11-04-16,73,34,26,21,9,5,68,236
12-04-16,83,27,23,17,4,4,62,220
13-04-16,70,29,14,17,8,5,63,206
14-04-16,76,24,13,22,12,4,51,202
15-04-16,56,20,22,23,15,4,57,197
16-04-16,56,20,26,13,3,4,51,173
17-04-16,47,21,29,19,9,5,62,192
18-04-16,70,27,22,5,5,5,59,193
19-04-16,65,28,9,18,2,7,62,191
20-04-16,70,25,26,13,2,6,59,201
21-04-16,67,24,16,17,2,5,56,187
22-04-16,56,19,13,17,3,2,52,162
23-04-16,46,23,19,2,2,3,53,148
24-04-16,53,16,11,15,3,2,48,148
25-04-16,45,19,24,21,4,5,53,171
26-04-16,52,28,23,27,6,9,62,207
27-04-16,71,29,16,29,4,3,64,216
28-04-16,75,28,10,27,3,3,63,209
29-04-16,75,38,34,31,4,4,73,259
30-04-16,101,37,21,19,7,4,63,252
01-05-16,73,18,14,16,3,2,47,173
02-05-16,44,22,16,17,2,3,53,157
03-05-16,55,15,25,10,3,5,42,155
04-05-16,32,17,19,18,2,8,53,149
05-05-16,61,24,16,18,2,7,57,185
06-05-16,57,22,8,17,3,10,56,173
07-05-16,56,26,18,19,5,10,55,189
08-05-16,64,26,12,23,3,9,59,196
09-05-16,63,16,15,14,3,6,39,156
10-05-16,27,14,16,22,4,7,52,142
11-05-16,49,22,11,18,6,6,54,166
12-05-16,51,19,4,12,3,6,51,146
13-05-16,51,21,6,19,8,5,53,163
14-05-16,57,21,20,17,10,5,54,184
15-05-16,61,20,23,15,6,3,48,176
16-05-16,51,25,20,29,6,7,66,204
17-05-16,86,31,10,20,8,5,54,214
18-05-16,60,20,7,20,4,5,55,171
19-05-16,55,17,16,16,7,2,47,160
20-05-16,42,20,17,12,7,3,41,142
21-05-16,41,14,21,16,8,2,37,139
22-05-16,43,18,25,17,14,3,45,165
23-05-16,43,16,15,15,5,2,46,142
24-05-16,38,14,17,14,6,2,43,134
25-05-16,40,15,12,16,10,3,39,135
26-05-16,34,12,9,13,8,3,36,115
27-05-16,32,13,14,15,3,2,40,119
28-05-16,35,15,26,17,5,3,46,147
29-05-16,51,19,11,18,14,3,45,161
30-05-16,43,17,26,21,9,2,50,168
31-05-16,46,24,12,24,9,2,59,176
01-06-16,61,22,13,22,4,3,58,183
02-06-16,61,27,14,23,3,6,60,194
03-06-16,67,28,3,30,5,5,62,200
04-06-16,67,24,29,19,6,4,59,208
05-06-16,68,21,19,16,7,1,51,183
06-06-16,46,17,16,17,3,1,53,153
07-06-16,48,28,6,24,5,4,59,174
08-06-16,71,28,12,22,7,5,65,210
09-06-16,79,25,7,24,6,3,60,204
10-06-16,61,20,9,18,6,3,49,166
11-06-16,47,13,14,13,3,2,34,126
12-06-16,26,12,12,13,3,3,44,113
13-06-16,36,18,14,16,5,3,55,147
14-06-16,55,19,9,19,7,3,52,164
15-06-16,49,18,5,16,8,4,46,146
16-06-16,43,13,4,14,6,4,38,122
17-06-16,30,13,14,19,5,4,42,127
18-06-16,44,22,25,16,2,5,51,165
19-06-16,54,18,24,15,4,5,53,173
20-06-16,46,17,15,21,5,4,52,160
21-06-16,49,22,5,22,6,4,55,163
22-06-16,55,19,14,7,4,2,49,150
23-06-16,49,16,8,15,3,2,44,137
24-06-16,42,16,15,13,4,3,47,140
25-06-16,44,13,13,13,3,2,39,127
26-06-16,37,15,8,14,3,2,38,117
27-06-16,34,15,18,17,5,2,43,134
28-06-16,45,23,22,16,10,3,52,171
29-06-16,53,25,22,18,8,3,55,184
30-06-16,58,26,25,12,4,3,57,185
04-01-16,37,17,13,9,1,2,36,115
05-01-16,38,17,13,8,2,2,36,116
06-01-16,37,19,15,10,2,2,41,126
07-01-16,47,19,13,10,3,2,38,132
08-01-16,41,20,13,9,3,2,39,127
09-01-16,45,18,16,7,2,1,41,130
10-01-16,36,17,12,12,1,4,44,126
11-01-16,43,21,14,8,2,7,40,135
12-01-16,44,20,15,7,2,5,44,137
13-01-16,46,19,13,9,2,5,41,135
14-01-16,43,18,8,12,3,9,43,136
15-01-16,44,22,9,18,3,12,57,165
16-01-16,60,22,9,12,2,10,49,164
17-01-16,49,20,15,17,2,6,53,162
18-01-16,54,21,9,12,3,2,52,153
19-01-16,55,20,11,12,2,2,48,150
20-01-16,45,18,9,10,2,2,40,126
21-01-16,41,19,7,12,1,2,48,130
