RECEIVED,SRRECTYPE,SR_TYPE_DESC,PC,WARD,COMPLETED,CLOSED,Flytip_Status,How_Recieved,where_Recieved
23/11/2017,EPRN02,Noise - Commercial/Industrial Activities,,Calverley & Farsley,08/01/2018,08/01/2018,,Telephone Call,Environmental Health Back Office
23/11/2017,EPRN02,Noise - Commercial/Industrial Activities,,Roundhay,29/06/2018,29/06/2018,,Telephone Call,Environmental Health Back Office
23/11/2017,EPRN22,Noise - Major Domestic Building Works,,Beeston & Holbeck,20/02/2018,20/02/2018,,Self Service,CCP Self Service
24/11/2017,EPRN03,Noise - Construction Sites,,Weetwood,24/11/2017,24/11/2017,,Letter,
25/11/2017,EPRN25,Noise - Licensed Premises,,Hyde Park & Woodhouse,08/01/2018,08/01/2018,,Telephone Call,Environmental Health Back Office
26/11/2017,EPRN18,Noise - PA Systems & Loud Speakers,,City & Hunslet,26/11/2017,26/11/2017,,Self Service,CCP Self Service
26/11/2017,EPRN21,Noise - Low Frequency,,Guiseley & Rawdon,26/11/2017,26/11/2017,,Self Service,CCP Self Service
26/11/2017,EPRN25,Noise - Licensed Premises,,Kippax & Methley,27/11/2017,27/11/2017,,Self Service,CCP Self Service
27/11/2017,EPRN25,Noise - Licensed Premises,,Chapel Allerton,03/01/2018,03/01/2018,,Self Service,CCP Self Service
27/11/2017,TXEN2B,TPHL Environmental - Noise Nuisance,,,11/12/2017,11/12/2017,,E-mail,Enforcement Back Office
28/11/2017,EPRN03,Noise - Construction Sites,,City & Hunslet,12/12/2017,12/12/2017,,Self Service,CCP Self Service
28/11/2017,EPRN18,Noise - PA Systems & Loud Speakers,LS1 6,City & Hunslet,08/01/2018,08/01/2018,,Self Service,CCP Self Service
28/11/2017,EPRN02,Noise - Commercial/Industrial Activities,,Moortown,19/01/2018,19/01/2018,,Telephone Call,Environmental Health Back Office
30/11/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,05/12/2017,05/12/2017,,E-mail,Environmental Health Back Office
30/11/2017,EPRN21,Noise - Low Frequency,,Hyde Park & Woodhouse,30/11/2017,30/11/2017,,Telephone Call,Contact Centre
01/12/2017,EPRN01,Noise - Air-Conditioning Units/Chillers,,Burmantofts & Richmond Hill,03/01/2018,03/01/2018,,Self Service,CCP Self Service
01/12/2017,EPRN03,Noise - Construction Sites,,Burmantofts & Richmond Hill,12/12/2017,12/12/2017,,Telephone Call,Contact Centre
01/12/2017,EPRN25,Noise - Licensed Premises,,Otley & Yeadon,17/01/2018,17/01/2018,,E-mail,Environmental Health Back Office
01/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Guiseley & Rawdon,17/01/2018,17/01/2018,,Self Service,CCP Self Service
02/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,City & Hunslet,05/09/2018,05/09/2018,,E-mail,Environmental Health Back Office
02/12/2017,EPRN03,Noise - Construction Sites,,Little London & Woodhouse,04/01/2018,04/01/2018,,Self Service,CCP Self Service
02/12/2017,EPRN25,Noise - Licensed Premises,,Weetwood,04/12/2017,04/12/2017,,Self Service,CCP Self Service
03/12/2017,EPRN18,Noise - PA Systems & Loud Speakers,,Hyde Park & Woodhouse,04/12/2017,04/12/2017,,Self Service,CCP Self Service
03/12/2017,EPRN18,Noise - PA Systems & Loud Speakers,,Headingley & Hyde Park,04/12/2017,04/12/2017,,Self Service,CCP Self Service
03/12/2017,EPRN18,Noise - PA Systems & Loud Speakers,,Headingley & Hyde Park,04/12/2017,04/12/2017,,Self Service,CCP Self Service
03/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Hyde Park & Woodhouse,04/12/2017,04/12/2017,,Self Service,CCP Self Service
04/12/2017,EPRN25,Noise - Licensed Premises,,Headingley,17/01/2018,17/01/2018,,E-mail,Environmental Health Back Office
04/12/2017,EPRN02,Noise - Commercial/Industrial Activities,LS3 1,Hyde Park & Woodhouse,18/12/2017,18/12/2017,,E-mail,Environmental Health Back Office
04/12/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Ardsley & Robin Hood,04/12/2017,04/12/2017,,Self Service,CCP Self Service
04/12/2017,EPRN02,Noise - Commercial/Industrial Activities,BD11 1,Morley North,06/03/2018,06/03/2018,,E-mail,Environmental Health Back Office
05/12/2017,EPRN25,Noise - Licensed Premises,,Wetherby,06/12/2017,06/12/2017,,E-mail,Environmental Health Back Office
05/12/2017,EPRN01,Noise - Air-Conditioning Units/Chillers,,Gipton & Harehills,26/04/2018,26/04/2018,,Telephone Call,Environmental Health Back Office
06/12/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Kirkstall,19/02/2018,19/02/2018,,Self Service,CCP Self Service
06/12/2017,EPRN18,Noise - PA Systems & Loud Speakers,,Headingley,29/05/2018,29/05/2018,,Self Service,CCP Self Service
06/12/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,15/07/2019,15/07/2019,,E-mail,Environmental Health Back Office
07/12/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Chapel Allerton,19/02/2018,19/02/2018,,E-mail,Environmental Health Back Office
07/12/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Morley North,08/12/2017,08/12/2017,,E-mail,Environmental Health Back Office
08/12/2017,EPRN25,Noise - Licensed Premises,LS2 7,City & Hunslet,16/01/2018,16/01/2018,,Telephone Call,Environmental Health Back Office
08/12/2017,EPRN25,Noise - Licensed Premises,,Horsforth,19/01/2018,19/01/2018,,Telephone Call,Environmental Health Back Office
09/12/2017,EPRN24,Noise - Patrons Entrng/Extng Buildings,,City & Hunslet,11/12/2017,11/12/2017,,Self Service,CCP Self Service
09/12/2017,EPRN02,Noise - Commercial/Industrial Activities,LS11 6,City & Hunslet,08/01/2018,08/01/2018,,Telephone Call,Environmental Health Back Office
11/12/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Burmantofts & Richmond Hill,08/01/2018,08/01/2018,,Telephone Call,Environmental Health Back Office
11/12/2017,EPRN03,Noise - Construction Sites,,Hyde Park & Woodhouse,12/01/2018,12/01/2018,,E-mail,Environmental Health Back Office
11/12/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Armley,11/12/2017,11/12/2017,,Telephone Call,Contact Centre
11/12/2017,EPRN02,Noise - Commercial/Industrial Activities,LS5 3,Kirkstall,15/02/2018,15/02/2018,,Telephone Call,Environmental Health Back Office
12/12/2017,EPRN18,Noise - PA Systems & Loud Speakers,,Headingley & Hyde Park,20/12/2017,20/12/2017,,Self Service,CCP Self Service
13/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Crossgates & Whinmoor,03/04/2018,03/04/2018,,E-mail,Environmental Health Back Office
13/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Garforth & Swillington,19/02/2018,19/02/2018,,Self Service,CCP Self Service
14/12/2017,EPRN25,Noise - Licensed Premises,,Guiseley & Rawdon,11/01/2018,11/01/2018,,E-mail,Environmental Health Back Office
14/12/2017,EPRN25,Noise - Licensed Premises,,Guiseley & Rawdon,11/01/2018,11/01/2018,,E-mail,Environmental Health Back Office
14/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Burmantofts & Richmond Hill,17/01/2018,17/01/2018,,Telephone Call,Environmental Health Back Office
14/12/2017,EPRN19,Noise - Mobile Plant/Machinery,,Guiseley & Rawdon,19/01/2018,19/01/2018,,Self Service,CCP Self Service
15/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Crossgates & Whinmoor,15/12/2017,15/12/2017,,Self Service,CCP Self Service
15/12/2017,EPRN03,Noise - Construction Sites,LS27 0,Morley South,17/01/2018,17/01/2018,,E-mail,Environmental Health Back Office
15/12/2017,EPRN25,Noise - Licensed Premises,,Guiseley & Rawdon,,,,Telephone Call,Environmental Health Back Office
15/12/2017,EPRN25,Noise - Licensed Premises,,Guiseley & Rawdon,11/01/2018,11/01/2018,,Self Service,CCP Self Service
15/12/2017,EPRN25,Noise - Licensed Premises,,Guiseley & Rawdon,11/01/2018,11/01/2018,,Telephone Call,Environmental Health Back Office
16/12/2017,EPRN25,Noise - Licensed Premises,,Guiseley & Rawdon,03/09/2018,03/09/2018,,Telephone Call,Environmental Health Back Office
16/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Roundhay,18/01/2018,18/01/2018,,Telephone Call,Environmental Health Back Office
16/12/2017,EPRN18,Noise - PA Systems & Loud Speakers,,Kirkstall,18/12/2017,18/12/2017,,Self Service,CCP Self Service
17/12/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Rothwell,19/12/2017,19/12/2017,,Self Service,CCP Self Service
18/12/2017,EPRN25,Noise - Licensed Premises,,Chapel Allerton,03/01/2018,03/01/2018,,E-mail,Environmental Health Back Office
18/12/2017,EPRN04,Noise - Delivery/Collection Vehicles,,Roundhay,03/04/2018,03/04/2018,,E-mail,Environmental Health Back Office
18/12/2017,EPRN25,Noise - Licensed Premises,,Guiseley & Rawdon,18/12/2017,18/12/2017,,Telephone Call,Contact Centre
18/12/2017,EPRN03,Noise - Construction Sites,,Bramley & Stanningley,18/12/2017,18/12/2017,,Self Service,CCP Self Service
19/12/2017,EPRN25,Noise - Licensed Premises,,Headingley,,,,,
19/12/2017,EPRN25,Noise - Licensed Premises,,Headingley,19/01/2018,19/01/2018,,E-mail,Environmental Health Back Office
19/12/2017,EPRN04,Noise - Delivery/Collection Vehicles,LS9 0,Temple Newsam,19/03/2018,19/03/2018,,Telephone Call,Contact Centre
19/12/2017,EPRN06,Noise - Transport Not Constructn Related,,City & Hunslet,19/12/2017,19/12/2017,,Telephone Call,Contact Centre
19/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Armley,20/12/2017,20/12/2017,,Self Service,CCP Self Service
20/12/2017,EPRN22,Noise - Major Domestic Building Works,,Kippax & Methley,20/12/2017,20/12/2017,,Telephone Call,Contact Centre
20/12/2017,EPRN24,Noise - Patrons Entrng/Extng Buildings,,Otley & Yeadon,19/01/2018,19/01/2018,,E-mail,Environmental Health Back Office
20/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Otley & Yeadon,19/01/2018,19/01/2018,,E-mail,Environmental Health Back Office
20/12/2017,EPRN21,Noise - Low Frequency,,Morley North,20/12/2017,20/12/2017,,Telephone Call,Contact Centre
20/12/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Morley South,21/12/2017,21/12/2017,,Self Service,CCP Self Service
21/12/2017,EPRN22,Noise - Major Domestic Building Works,,Kirkstall,19/02/2018,19/02/2018,,Self Service,CCP Self Service
21/12/2017,EPRN03,Noise - Construction Sites,,Chapel Allerton,15/01/2018,15/01/2018,,E-mail,Environmental Health Back Office
22/12/2017,EPRN01,Noise - Air-Conditioning Units/Chillers,,Horsforth,19/02/2018,19/02/2018,,Self Service,CCP Self Service
22/12/2017,EPRN04,Noise - Delivery/Collection Vehicles,,City & Hunslet,03/04/2018,03/04/2018,,Self Service,CCP Self Service
22/12/2017,EPRN04,Noise - Delivery/Collection Vehicles,,Wetherby,12/03/2018,12/03/2018,,Telephone Call,Environmental Health Back Office
22/12/2017,EPRN16,Noise - Buskers,LS1 6,City & Hunslet,22/12/2017,22/12/2017,,Telephone Call,Contact Centre
23/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Burmantofts & Richmond Hill,02/01/2018,02/01/2018,,Self Service,CCP Self Service
23/12/2017,EPRN25,Noise - Licensed Premises,,Kippax & Methley,02/01/2018,02/01/2018,,Self Service,CCP Self Service
27/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Roundhay,20/02/2018,20/02/2018,,Self Service,CCP Self Service
29/12/2017,EPRN03,Noise - Construction Sites,LS3 1,Hyde Park & Woodhouse,19/02/2018,19/02/2018,,Telephone Call,Environmental Health Back Office
30/12/2017,EPRN21,Noise - Low Frequency,,Hyde Park & Woodhouse,02/01/2018,09/01/2018,,Self Service,CCP Self Service
31/12/2017,EPRN02,Noise - Commercial/Industrial Activities,,Weetwood,02/01/2018,02/01/2018,,Self Service,CCP Self Service
02/01/2018,EPRN24,Noise - Patrons Entrng/Extng Buildings,,Guiseley & Rawdon,02/01/2018,02/01/2018,,Telephone Call,Contact Centre
02/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,Guiseley & Rawdon,02/01/2018,02/01/2018,,Telephone Call,Contact Centre
03/01/2018,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Guiseley & Rawdon,19/02/2018,19/02/2018,,Telephone Call,Environmental Health Back Office
03/01/2018,EPRN25,Noise - Licensed Premises,,Beeston & Holbeck,19/01/2018,19/01/2018,,E-mail,Environmental Health Back Office
03/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,Burmantofts & Richmond Hill,26/01/2018,26/01/2018,,Telephone Call,Contact Centre
03/01/2018,EPRN03,Noise - Construction Sites,LS12 5,Farnley & Wortley,19/02/2018,19/02/2018,,Telephone Call,Environmental Health Back Office
