RECEIVED,SRRECTYPE,SR_TYPE_DESC,PC,WARD,COMPLETED,CLOSED,Flytip_Status,How_Recieved,where_Recieved
01/01/2017,EPRN02,Noise - Commercial/Industrial Activities,LS1 3,City & Hunslet,03/01/2017,03/01/2017,,Self Service,CCP Self Service
01/01/2017,EPRN18,Noise - PA Systems & Loud Speakers,,City & Hunslet,03/01/2017,03/01/2017,,Self Service,CCP Self Service
01/01/2017,EPRN21,Noise - Low Frequency,,Weetwood,03/01/2017,03/01/2017,,Self Service,CCP Self Service
02/01/2017,EPRN25,Noise - Licensed Premises,,Hyde Park & Woodhouse,03/01/2017,03/01/2017,,Self Service,CCP Self Service
04/01/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,04/01/2017,04/01/2017,,E-mail,Environmental Health Back Office
04/01/2017,EPRN04,Noise - Delivery/Collection Vehicles,,Morley North,23/02/2017,23/02/2017,,Telephone Call,Environmental Health Back Office
05/01/2017,EPRN23,Noise - Taxis,,City & Hunslet,10/01/2017,10/01/2017,,Self Service,CCP Self Service
05/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,City & Hunslet,12/01/2017,12/01/2017,,E-mail,Environmental Health Back Office
06/01/2017,EPRN21,Noise - Low Frequency,,City & Hunslet,06/01/2017,06/01/2017,,Self Service,CCP Self Service
07/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Armley,09/01/2017,09/01/2017,,Telephone Call,Environmental Health Back Office
08/01/2017,EPRN25,Noise - Licensed Premises,,Chapel Allerton,09/01/2017,09/01/2017,,Telephone Call,Environmental Health Back Office
08/01/2017,EPRN06,Noise - Transport Not Constructn Related,LS6 2,Headingley,09/01/2017,09/01/2017,,Telephone Call,Environmental Health Back Office
09/01/2017,EPRN02,Noise - Commercial/Industrial Activities,LS9 7,Gipton & Harehills,23/03/2017,23/03/2017,,E-mail,Environmental Health Back Office
09/01/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,10/01/2017,10/01/2017,,Telephone Call,Contact Centre
09/01/2017,EPRN03,Noise - Construction Sites,LS14 1,Killingbeck & Seacroft,19/01/2017,19/01/2017,,Telephone Call,Contact Centre
09/01/2017,EPRN06,Noise - Transport Not Constructn Related,,Burmantofts & Richmond Hill,18/05/2017,18/05/2017,,E-mail,Environmental Health Back Office
10/01/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Weetwood,19/01/2017,19/01/2017,,Telephone Call,Environmental Health Back Office
10/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Morley South,09/03/2017,09/03/2017,,Self Service,CCP Self Service
11/01/2017,EPRN05,Noise - Roadworks,LS9 0,Burmantofts & Richmond Hill,11/01/2017,11/01/2017,,Self Service,CCP Self Service
11/01/2017,EPRN01,Noise - Air-Conditioning Units/Chillers,,Pudsey,13/03/2017,13/03/2017,,Telephone Call,Environmental Health Back Office
11/01/2017,EPRN05,Noise - Roadworks,LS6 3,Headingley,12/01/2017,12/01/2017,,Self Service,CCP Self Service
12/01/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,12/01/2017,12/01/2017,,Self Service,CCP Self Service
12/01/2017,EPRN03,Noise - Construction Sites,,Middleton Park,12/01/2017,12/01/2017,,Self Service,CCP Self Service
13/01/2017,EPRN03,Noise - Construction Sites,WF10 2,Kippax & Methley,19/01/2017,19/01/2017,,E-mail,Environmental Health Back Office
13/01/2017,EPRN04,Noise - Delivery/Collection Vehicles,,Kirkstall,23/02/2017,23/02/2017,,Telephone Call,Contact Centre
14/01/2017,EPRN03,Noise - Construction Sites,,City & Hunslet,30/01/2017,30/01/2017,,Self Service,CCP Self Service
14/01/2017,EPRN25,Noise - Licensed Premises,,Pudsey,16/01/2017,16/01/2017,,Telephone Call,Environmental Health Back Office
15/01/2017,EPRN04,Noise - Delivery/Collection Vehicles,,City & Hunslet,16/01/2017,16/01/2017,,Self Service,CCP Self Service
16/01/2017,EPRN25,Noise - Licensed Premises,,Pudsey,16/01/2017,16/01/2017,,Telephone Call,Contact Centre
16/01/2017,EPRN04,Noise - Delivery/Collection Vehicles,,Rothwell,23/02/2017,23/02/2017,,Self Service,CCP Self Service
16/01/2017,EPRN14,Noise - Shooting,,Roundhay,16/01/2017,16/01/2017,,Self Service,CCP Self Service
16/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Garforth & Swillington,31/01/2017,31/01/2017,,Telephone Call,Contact Centre
16/01/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,18/01/2017,18/01/2017,,Self Service,CCP Self Service
17/01/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Wetherby,23/01/2017,23/01/2017,,Self Service,CCP Self Service
17/01/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),LS1 5,City & Hunslet,23/01/2017,23/01/2017,,Telephone Call,Environmental Health Back Office
17/01/2017,EPRN04,Noise - Delivery/Collection Vehicles,,Temple Newsam,23/02/2017,23/02/2017,,Telephone Call,Contact Centre
17/01/2017,EPRN25,Noise - Licensed Premises,,Pudsey,23/02/2017,23/02/2017,,Telephone Call,Environmental Health Back Office
17/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Morley North,21/04/2017,21/04/2017,,E-mail,Environmental Health Back Office
17/01/2017,EPRN04,Noise - Delivery/Collection Vehicles,,Temple Newsam,23/02/2017,23/02/2017,,Telephone Call,Contact Centre
17/01/2017,EPRN01,Noise - Air-Conditioning Units/Chillers,,Calverley & Farsley,22/12/2017,22/12/2017,,Telephone Call,Contact Centre
17/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Morley South,23/02/2017,23/02/2017,,E-mail,Environmental Health Back Office
19/01/2017,EPRN03,Noise - Construction Sites,,Rothwell,19/01/2017,19/01/2017,,Self Service,CCP Self Service
19/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Guiseley & Rawdon,03/02/2017,03/02/2017,,Telephone Call,Contact Centre
20/01/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Armley,25/01/2017,25/01/2017,,Telephone Call,Environmental Health Back Office
20/01/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Armley,24/01/2017,24/01/2017,,Telephone Call,Environmental Health Back Office
20/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Kippax & Methley,23/02/2017,23/02/2017,,Telephone Call,Contact Centre
20/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Temple Newsam,23/01/2017,23/01/2017,,Telephone Call,Environmental Health Back Office
21/01/2017,EPRN06,Noise - Transport Not Constructn Related,,Kippax & Methley,15/02/2017,15/02/2017,,Self Service,CCP Self Service
21/01/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,16/02/2017,16/02/2017,,Telephone Call,Environmental Health Back Office
21/01/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,23/01/2017,23/01/2017,,Self Service,CCP Self Service
22/01/2017,EPRN25,Noise - Licensed Premises,,Hyde Park & Woodhouse,27/02/2017,27/02/2017,,Telephone Call,Environmental Health Back Office
22/01/2017,EPRN03,Noise - Construction Sites,LS10 1,City & Hunslet,07/02/2017,07/02/2017,,Self Service,CCP Self Service
23/01/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,21/04/2017,21/04/2017,,Telephone Call,Environmental Health Back Office
23/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Gipton & Harehills,07/02/2017,07/02/2017,,Telephone Call,Contact Centre
23/01/2017,EPRN03,Noise - Construction Sites,,Gipton & Harehills,23/02/2017,23/02/2017,,E-mail,Environmental Health Back Office
23/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Farnley & Wortley,13/02/2017,13/02/2017,,Telephone Call,Environmental Health Back Office
23/01/2017,EPRN25,Noise - Licensed Premises,,Chapel Allerton,30/01/2017,30/01/2017,,Telephone Call,Contact Centre
23/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Burmantofts & Richmond Hill,20/04/2017,20/04/2017,,Self Service,CCP Self Service
24/01/2017,EPRN04,Noise - Delivery/Collection Vehicles,LS12 2,Armley,03/03/2017,03/03/2017,,Self Service,CCP Self Service
24/01/2017,EPRN03,Noise - Construction Sites,LS27 7,Morley North,21/04/2017,21/04/2017,,E-mail,Environmental Health Back Office
24/01/2017,EPRN02,Noise - Commercial/Industrial Activities,LS26 8,Rothwell,01/09/2017,01/09/2017,,E-mail,CCP Self Service
24/01/2017,EPRN02,Noise - Commercial/Industrial Activities,LS10 1,City & Hunslet,07/02/2017,07/02/2017,,Telephone Call,Environmental Health Back Office
24/01/2017,EPRN02,Noise - Commercial/Industrial Activities,LS5 3,Kirkstall,31/07/2017,31/07/2017,,Self Service,CCP Self Service
25/01/2017,EPRN04,Noise - Delivery/Collection Vehicles,,City & Hunslet,29/03/2017,29/03/2017,,E-mail,Environmental Health Back Office
25/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Chapel Allerton,15/03/2017,15/03/2017,,E-mail,Environmental Health Back Office
25/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Headingley,03/03/2017,03/03/2017,,E-mail,Environmental Health Back Office
26/01/2017,EPRN02,Noise - Commercial/Industrial Activities,LS1 3,City & Hunslet,26/01/2017,26/01/2017,,Self Service,CCP Self Service
26/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Roundhay,08/03/2017,08/03/2017,,E-mail,Environmental Health Back Office
26/01/2017,EPRN20,Noise - Vehicle Repairs,,Killingbeck & Seacroft,26/01/2017,26/01/2017,,Self Service,CCP Self Service
27/01/2017,EPRN03,Noise - Construction Sites,LS13 2,Bramley & Stanningley,27/01/2017,27/01/2017,,Telephone Call,Environmental Health Back Office
27/01/2017,EPRN25,Noise - Licensed Premises,,Headingley & Hyde Park,02/03/2017,02/03/2017,,E-mail,Environmental Health Back Office
27/01/2017,EPRN25,Noise - Licensed Premises,,Temple Newsam,24/02/2017,24/02/2017,,Telephone Call,Environmental Health Back Office
28/01/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,27/02/2017,27/02/2017,,Self Service,CCP Self Service
29/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Guiseley & Rawdon,15/03/2017,15/03/2017,,Self Service,CCP Self Service
29/01/2017,EPRN07,Noise - Motor Vehicles (On Private Land),,Middleton Park,30/01/2017,30/01/2017,,Self Service,CCP Self Service
30/01/2017,EPRN18,Noise - PA Systems & Loud Speakers,,Headingley,30/01/2017,30/01/2017,,Self Service,CCP Self Service
30/01/2017,EPRN03,Noise - Construction Sites,,Kippax & Methley,30/01/2017,30/01/2017,,Telephone Call,Contact Centre
30/01/2017,EPRN02,Noise - Commercial/Industrial Activities,LS6 3,Headingley,30/01/2017,30/01/2017,,E-mail,Environmental Health Back Office
30/01/2017,EPRN06,Noise - Transport Not Constructn Related,,Farnley & Wortley,23/02/2017,23/02/2017,,Self Service,CCP Self Service
31/01/2017,EPRN03,Noise - Construction Sites,LS2 7,City & Hunslet,07/02/2017,07/02/2017,,Self Service,CCP Self Service
31/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,City & Hunslet,31/01/2017,31/01/2017,,Telephone Call,Contact Centre
01/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),LS8 3,Gipton & Harehills,27/02/2017,27/02/2017,,Telephone Call,Environmental Health Back Office
01/02/2017,EPRN03,Noise - Construction Sites,LS11 5,City & Hunslet,02/03/2017,02/03/2017,,E-mail,Environmental Health Back Office
02/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Pudsey,10/03/2017,10/03/2017,,Self Service,CCP Self Service
02/02/2017,EPRN03,Noise - Construction Sites,LS1 5,City & Hunslet,23/02/2017,23/02/2017,,Self Service,CCP Self Service
03/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Kirkstall,03/03/2017,03/03/2017,,Self Service,CCP Self Service
03/02/2017,EPRN21,Noise - Low Frequency,,Horsforth,07/02/2017,07/02/2017,,Self Service,CCP Self Service
04/02/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,06/03/2017,06/03/2017,,Telephone Call,Environmental Health Back Office
04/02/2017,EPRN25,Noise - Licensed Premises,LS9 7,Burmantofts & Richmond Hill,20/04/2017,20/04/2017,,Self Service,CCP Self Service
05/02/2017,EPRN04,Noise - Delivery/Collection Vehicles,,Armley,06/02/2017,06/02/2017,,Self Service,CCP Self Service
06/02/2017,EPRN25,Noise - Licensed Premises,,Killingbeck & Seacroft,13/02/2017,13/02/2017,,E-mail,Environmental Health Back Office
06/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Garforth & Swillington,15/03/2017,15/03/2017,,Telephone Call,Environmental Health Back Office
06/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Morley North,06/02/2017,06/02/2017,,E-mail,Environmental Health Back Office
06/02/2017,EPRN25,Noise - Licensed Premises,,Gipton & Harehills,13/03/2017,13/03/2017,,Self Service,CCP Self Service
06/02/2017,EPRN04,Noise - Delivery/Collection Vehicles,,Alwoodley,07/02/2017,07/02/2017,,Self Service,CCP Self Service
07/02/2017,EPRN25,Noise - Licensed Premises,,Guiseley & Rawdon,07/02/2017,07/02/2017,,Self Service,CCP Self Service
07/02/2017,EPRN03,Noise - Construction Sites,,Headingley,13/02/2017,13/02/2017,,Telephone Call,Contact Centre
07/02/2017,EPRN23,Noise - Taxis,LS9 7,City & Hunslet,07/02/2017,07/02/2017,,Self Service,CCP Self Service
08/02/2017,EPRN21,Noise - Low Frequency,,Horsforth,08/02/2017,08/02/2017,,Self Service,CCP Self Service
09/02/2017,EPRN03,Noise - Construction Sites,,City & Hunslet,28/02/2017,28/02/2017,,Telephone Call,Contact Centre
09/02/2017,EPRN03,Noise - Construction Sites,,City & Hunslet,16/02/2017,20/04/2017,,E-mail,Environmental Health Back Office
09/02/2017,EPRN05,Noise - Roadworks,LS2 7,Burmantofts & Richmond Hill,09/02/2017,09/02/2017,,E-mail,Environmental Health Back Office
10/02/2017,EPRN21,Noise - Low Frequency,,Calverley & Farsley,15/03/2017,15/03/2017,,Telephone Call,Environmental Health Back Office
11/02/2017,EPRN18,Noise - PA Systems & Loud Speakers,,Rothwell,14/02/2017,14/02/2017,,Self Service,CCP Self Service
11/02/2017,EPRN03,Noise - Construction Sites,LS26 9,Kippax & Methley,08/03/2017,08/03/2017,,Telephone Call,Environmental Health Back Office
12/02/2017,EPRN25,Noise - Licensed Premises,,Rothwell,13/02/2017,13/02/2017,,Telephone Call,Environmental Health Back Office
13/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Burmantofts & Richmond Hill,13/02/2017,13/02/2017,,Self Service,CCP Self Service
13/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Beeston & Holbeck,29/03/2017,29/03/2017,,Telephone Call,Environmental Health Back Office
13/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),LS25 1,Garforth & Swillington,13/02/2017,13/02/2017,,Self Service,CCP Self Service
13/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Gipton & Harehills,11/05/2017,11/05/2017,,Telephone Call,Environmental Health Back Office
13/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Headingley,14/02/2017,14/02/2017,,Telephone Call,Environmental Health Back Office
14/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Chapel Allerton,14/02/2017,14/02/2017,,Self Service,CCP Self Service
14/02/2017,EPRN03,Noise - Construction Sites,LS2 7,City & Hunslet,02/03/2017,02/03/2017,,Self Service,CCP Self Service
14/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Weetwood,21/02/2017,21/02/2017,,E-mail,Environmental Health Back Office
15/02/2017,EPRN12,Noise - Fairgrounds,,Gipton & Harehills,20/02/2017,20/02/2017,,Telephone Call,Contact Centre
16/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Otley & Yeadon,21/04/2017,21/04/2017,,Telephone Call,Environmental Health Back Office
17/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,City & Hunslet,02/03/2017,02/03/2017,,Telephone Call,Environmental Health Back Office
17/02/2017,EPRN18,Noise - PA Systems & Loud Speakers,,Bramley & Stanningley,29/03/2017,29/03/2017,,Telephone Call,Contact Centre
17/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,City & Hunslet,17/02/2017,17/02/2017,,Telephone Call,Contact Centre
17/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Gipton & Harehills,29/03/2017,29/03/2017,,Telephone Call,Contact Centre
17/02/2017,EPRN21,Noise - Low Frequency,,Farnley & Wortley,20/02/2017,20/02/2017,,Self Service,CCP Self Service
17/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,City & Hunslet,04/04/2017,04/04/2017,,Self Service,CCP Self Service
18/02/2017,EPRN03,Noise - Construction Sites,LS2 7,City & Hunslet,03/03/2017,03/03/2017,,Self Service,CCP Self Service
18/02/2017,EPRN22,Noise - Major Domestic Building Works,,Hyde Park & Woodhouse,21/02/2017,21/02/2017,,Self Service,CCP Self Service
19/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,23/02/2017,23/02/2017,,Telephone Call,Environmental Health Back Office
19/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,15/03/2017,15/03/2017,,Telephone Call,Environmental Health Back Office
20/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,20/02/2017,20/02/2017,,Telephone Call,Environmental Health Back Office
20/02/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,21/02/2017,21/02/2017,,Telephone Call,Environmental Health Back Office
20/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,23/02/2017,23/02/2017,,Telephone Call,Environmental Health Back Office
20/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Little London & Woodhouse,23/02/2017,23/02/2017,,Telephone Call,Contact Centre
20/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,23/02/2017,23/02/2017,,Self Service,CCP Self Service
20/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,23/02/2017,23/02/2017,,Telephone Call,Contact Centre
20/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,23/02/2017,23/02/2017,,Telephone Call,Contact Centre
20/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,23/02/2017,23/02/2017,,Telephone Call,Environmental Health Back Office
20/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Calverley & Farsley,27/03/2017,27/03/2017,,Self Service,CCP Self Service
20/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Guiseley & Rawdon,29/03/2017,29/03/2017,,Telephone Call,Environmental Health Back Office
21/02/2017,EPRN06,Noise - Transport Not Constructn Related,,Beeston & Holbeck,21/02/2017,21/02/2017,,Self Service,CCP Self Service
21/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Ardsley & Robin Hood,21/02/2017,21/02/2017,,Self Service,CCP Self Service
21/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,23/02/2017,23/02/2017,,Telephone Call,Contact Centre
22/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Burmantofts & Richmond Hill,22/02/2017,22/02/2017,,Telephone Call,Environmental Health Back Office
22/02/2017,EPRN03,Noise - Construction Sites,,Armley,28/02/2017,28/02/2017,,Telephone Call,Contact Centre
22/02/2017,EPRN05,Noise - Roadworks,LS12 4,Farnley & Wortley,22/02/2017,22/02/2017,,E-mail,Environmental Health Back Office
23/02/2017,EPRN19,Noise - Mobile Plant/Machinery,,Pudsey,21/12/2017,21/12/2017,,Self Service,CCP Self Service
23/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,City & Hunslet,23/02/2017,23/02/2017,,E-mail,Environmental Health Back Office
24/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Moortown,22/03/2017,22/03/2017,,Self Service,CCP Self Service
24/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Kippax & Methley,22/03/2017,22/03/2017,,E-mail,Environmental Health Back Office
24/02/2017,EPRN25,Noise - Licensed Premises,LS8 3,Killingbeck & Seacroft,10/04/2017,10/04/2017,,Telephone Call,Environmental Health Back Office
25/02/2017,EPRN25,Noise - Licensed Premises,,Wetherby,27/02/2017,27/02/2017,,Self Service,CCP Self Service
26/02/2017,EPRN25,Noise - Licensed Premises,LS2 3,City & Hunslet,29/03/2017,29/03/2017,,Telephone Call,CCP Self Service
27/02/2017,EPRN25,Noise - Licensed Premises,,Beeston & Holbeck,09/03/2017,09/03/2017,,E-mail,Environmental Health Back Office
27/02/2017,EPRN03,Noise - Construction Sites,LS27 8,Morley North,09/05/2017,09/05/2017,,E-mail,Environmental Health Back Office
27/02/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,09/03/2017,09/03/2017,,E-mail,Environmental Health Back Office
27/02/2017,EPRN02,Noise - Commercial/Industrial Activities,,Bramley & Stanningley,29/03/2017,29/03/2017,,Telephone Call,Environmental Health Back Office
27/02/2017,EPRN18,Noise - PA Systems & Loud Speakers,,Beeston & Holbeck,08/03/2017,08/03/2017,,Telephone Call,Contact Centre
28/02/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Headingley,01/03/2017,01/03/2017,,Telephone Call,Environmental Health Back Office
01/03/2017,EPRN02,Noise - Commercial/Industrial Activities,,Kirkstall,13/03/2017,13/03/2017,,E-mail,Environmental Health Back Office
02/03/2017,EPRN02,Noise - Commercial/Industrial Activities,,Weetwood,02/03/2017,02/03/2017,,Self Service,CCP Self Service
02/03/2017,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Burmantofts & Richmond Hill,02/03/2017,02/03/2017,,Self Service,CCP Self Service
02/03/2017,EPRN02,Noise - Commercial/Industrial Activities,,Roundhay,18/04/2017,18/04/2017,,E-mail,Environmental Health Back Office
03/03/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,03/03/2017,03/03/2017,,Self Service,CCP Self Service
03/03/2017,EPRN18,Noise - PA Systems & Loud Speakers,,Chapel Allerton,30/03/2017,30/03/2017,,Self Service,CCP Self Service
03/03/2017,EPRN25,Noise - Licensed Premises,,Rothwell,21/04/2017,21/04/2017,,Telephone Call,Environmental Health Back Office
04/03/2017,EPRN02,Noise - Commercial/Industrial Activities,,City & Hunslet,13/03/2017,13/03/2017,,Self Service,CCP Self Service
04/03/2017,EPRN15,Noise - Church Bells/Clocks/Calls Prayer,,Killingbeck & Seacroft,04/04/2017,04/04/2017,,Telephone Call,Environmental Health Back Office
04/03/2017,EPRN25,Noise - Licensed Premises,,Farnley & Wortley,13/03/2017,13/03/2017,,Self Service,CCP Self Service
05/03/2017,EPRN24,Noise - Patrons Entrng/Extng Buildings,,Weetwood,06/03/2017,06/03/2017,,Self Service,CCP Self Service
06/03/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,11/04/2017,11/04/2017,,Telephone Call,Environmental Health Back Office
06/03/2017,EPRN04,Noise - Delivery/Collection Vehicles,,City & Hunslet,30/03/2017,30/03/2017,,Self Service,CCP Self Service
06/03/2017,EPRN03,Noise - Construction Sites,LS17 7,Alwoodley,13/03/2017,13/03/2017,,Telephone Call,Environmental Health Back Office
06/03/2017,EPRN04,Noise - Delivery/Collection Vehicles,LS1 5,City & Hunslet,20/03/2017,20/03/2017,,E-mail,Environmental Health Back Office
06/03/2017,EPRN01,Noise - Air-Conditioning Units/Chillers,,Chapel Allerton,07/03/2017,07/03/2017,,Telephone Call,Environmental Health Back Office
07/03/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,07/03/2017,07/03/2017,,E-mail,Environmental Health Back Office
07/03/2017,EPRN04,Noise - Delivery/Collection Vehicles,,City & Hunslet,13/03/2017,13/03/2017,,Self Service,CCP Self Service
07/03/2017,EPRN01,Noise - Air-Conditioning Units/Chillers,,Burmantofts & Richmond Hill,08/03/2017,08/03/2017,,Self Service,CCP Self Service
08/03/2017,EPRN25,Noise - Licensed Premises,,Wetherby,08/03/2017,08/03/2017,,Telephone Call,Environmental Health Back Office
08/03/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,08/03/2017,08/03/2017,,E-mail,Environmental Health Back Office
08/03/2017,EPRN02,Noise - Commercial/Industrial Activities,,Horsforth,08/03/2017,08/03/2017,,Self Service,CCP Self Service
09/03/2017,EPRN03,Noise - Construction Sites,LS25 7,Kippax & Methley,15/03/2017,15/03/2017,,Telephone Call,Contact Centre
10/03/2017,EPRN02,Noise - Commercial/Industrial Activities,LS17 5,Moortown,26/05/2017,26/05/2017,,,Environmental Health Back Office
10/03/2017,EPRN02,Noise - Commercial/Industrial Activities,,Burmantofts & Richmond Hill,13/04/2017,13/04/2017,,E-mail,Environmental Health Back Office
10/03/2017,EPRN02,Noise - Commercial/Industrial Activities,,Farnley & Wortley,13/03/2017,13/03/2017,,Self Service,CCP Self Service
11/03/2017,EPRN18,Noise - PA Systems & Loud Speakers,,City & Hunslet,15/03/2017,15/03/2017,,Self Service,CCP Self Service
11/03/2017,EPRN15,Noise - Church Bells/Clocks/Calls Prayer,,City & Hunslet,10/04/2017,10/04/2017,,Telephone Call,Environmental Health Back Office
11/03/2017,EPRN03,Noise - Construction Sites,,Hyde Park & Woodhouse,18/04/2017,18/04/2017,,Self Service,CCP Self Service
11/03/2017,EPRN07,Noise - Motor Vehicles (On Private Land),,Crossgates & Whinmoor,15/03/2017,15/03/2017,,Self Service,CCP Self Service
11/03/2017,EPRN25,Noise - Licensed Premises,,Farnley & Wortley,29/03/2017,29/03/2017,,Telephone Call,Environmental Health Back Office
12/03/2017,EPRN18,Noise - PA Systems & Loud Speakers,,City & Hunslet,13/03/2017,13/03/2017,,Self Service,CCP Self Service
12/03/2017,EPRN04,Noise - Delivery/Collection Vehicles,,Temple Newsam,30/03/2017,30/03/2017,,Self Service,CCP Self Service
12/03/2017,EPRN03,Noise - Construction Sites,,City & Hunslet,13/03/2017,13/03/2017,,Self Service,CCP Self Service
12/03/2017,EPRN05,Noise - Roadworks,,City & Hunslet,13/03/2017,13/03/2017,,Self Service,CCP Self Service
13/03/2017,EPRN25,Noise - Licensed Premises,,Crossgates & Whinmoor,18/04/2017,18/04/2017,,E-mail,Environmental Health Back Office
13/03/2017,EPRN07,Noise - Motor Vehicles (On Private Land),,Killingbeck & Seacroft,13/03/2017,13/03/2017,,Self Service,CCP Self Service
14/03/2017,EPRN03,Noise - Construction Sites,,Alwoodley,15/03/2017,15/03/2017,,Self Service,CCP Self Service
14/03/2017,EPRN02,Noise - Commercial/Industrial Activities,,Crossgates & Whinmoor,09/05/2017,09/05/2017,,E-mail,Environmental Health Back Office
14/03/2017,EPRN25,Noise - Licensed Premises,,Beeston & Holbeck,18/04/2017,18/04/2017,,E-mail,Environmental Health Back Office
14/03/2017,EPRN03,Noise - Construction Sites,,Kirkstall,30/03/2017,30/03/2017,,E-mail,Environmental Health Back Office
14/03/2017,EPRN25,Noise - Licensed Premises,,Morley South,18/04/2017,18/04/2017,,Self Service,CCP Self Service
15/03/2017,EPRN02,Noise - Commercial/Industrial Activities,,Calverley & Farsley,30/03/2017,30/03/2017,,Self Service,CCP Self Service
17/03/2017,EPRN25,Noise - Licensed Premises,LS9 7,Burmantofts & Richmond Hill,22/03/2017,22/03/2017,,Self Service,CCP Self Service
18/03/2017,EPRN02,Noise - Commercial/Industrial Activities,,Garforth & Swillington,21/03/2017,21/03/2017,,Self Service,CCP Self Service
18/03/2017,EPRN07,Noise - Motor Vehicles (On Private Land),,Garforth & Swillington,20/03/2017,20/03/2017,,Self Service,CCP Self Service
18/03/2017,EPRN25,Noise - Licensed Premises,LS25 3,Harewood,20/03/2017,20/03/2017,,Self Service,CCP Self Service
